shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
800_to_658,9.38148,37.39059,0,0.00
800_to_658,9.37924,37.39045,1,249.55
800_to_658,9.37924,37.39045,2,249.55
800_to_658,9.37606,37.39172,3,629.61
800_to_658,9.37393,37.39451,4,1016.63
800_to_658,9.37359,37.39805,5,1406.84
800_to_658,9.3731,37.39893,6,1517.70
800_to_658,9.37308,37.40185,7,1838.06
800_to_658,9.37371,37.40393,8,2076.77
800_to_658,9.37414,37.40753,9,2474.61
800_to_658,9.37414,37.40753,10,2474.61
800_to_658,9.37298,37.40725,11,2607.20
800_to_658,9.37167,37.40696,12,2756.30
800_to_658,9.37058,37.4067,13,2880.82
800_to_658,9.36642,37.40584,14,3352.91
800_to_658,9.36503,37.40551,15,3511.66
800_to_658,9.36348,37.40518,16,3687.77
800_to_658,9.36211,37.40489,17,3843.40
800_to_658,9.36023,37.40448,18,4057.23
800_to_658,9.35762,37.40392,19,4353.88
800_to_658,9.35707,37.40384,20,4415.66
800_to_658,9.35659,37.40383,21,4469.05
800_to_658,9.3561,37.40387,22,4523.71
800_to_658,9.35493,37.40415,23,4657.39
800_to_658,9.35245,37.40474,24,4940.64
800_to_658,9.35235,37.40476,25,4951.98
800_to_658,9.34991,37.40531,26,5229.92
800_to_658,9.34963,37.40538,27,5261.99
800_to_658,9.34847,37.40567,28,5394.84
800_to_658,9.34727,37.40618,29,5539.54
800_to_658,9.34635,37.40695,30,5672.21
800_to_658,9.34391,37.40947,31,6059.59
800_to_658,9.34352,37.40966,32,6107.70
800_to_658,9.34313,37.40972,33,6151.57
800_to_658,9.34276,37.40973,34,6192.72
800_to_658,9.34236,37.40962,35,6238.81
800_to_658,9.34202,37.40945,36,6280.97
800_to_658,9.33967,37.40825,37,6573.57
800_to_658,9.33944,37.40812,38,6602.85
800_to_658,9.3393,37.40806,39,6619.76
800_to_658,9.33785,37.40736,40,6798.35
800_to_658,9.33647,37.40667,41,6969.46
800_to_658,9.33638,37.40663,42,6980.38
800_to_658,9.33591,37.40643,43,7037.07
800_to_658,9.33471,37.40582,44,7186.35
800_to_658,9.334,37.40533,45,7281.86
800_to_658,9.33344,37.40482,46,7365.58
800_to_658,9.33302,37.40407,47,7460.20
800_to_658,9.3293,37.39776,48,8266.71
800_to_658,9.32778,37.3951,49,8603.98
800_to_658,9.32731,37.3943,50,8706.14
800_to_658,9.32705,37.39387,51,8761.48
800_to_658,9.32508,37.39058,52,9183.74
800_to_658,9.32438,37.3894,53,9334.81
800_to_658,9.32374,37.38826,54,9478.72
800_to_658,9.32342,37.38789,55,9532.71
800_to_658,9.32305,37.3876,56,9584.72
800_to_658,9.32268,37.38746,57,9628.64
800_to_658,9.3223,37.38742,58,9671.12
800_to_658,9.32185,37.38747,59,9721.46
800_to_658,9.31848,37.38916,60,10139.56
800_to_658,9.31788,37.38948,61,10214.95
800_to_658,9.31709,37.38994,62,10316.26
800_to_658,9.31625,37.39017,63,10413.01
800_to_658,9.3159,37.39019,64,10451.99
800_to_658,9.31525,37.39004,65,10526.12
800_to_658,9.31395,37.38974,66,10674.38
800_to_658,9.31118,37.38899,67,10993.19
800_to_658,9.3107,37.38882,68,11049.73
800_to_658,9.30966,37.38837,69,11175.47
800_to_658,9.30906,37.38808,70,11249.39
800_to_658,9.30787,37.38731,71,11406.39
800_to_658,9.30692,37.38682,72,11524.92
800_to_658,9.30661,37.38672,73,11561.10
800_to_658,9.30553,37.38657,74,11682.31
800_to_658,9.30427,37.38644,75,11823.14
800_to_658,9.30203,37.38622,76,12073.38
800_to_658,9.30027,37.38611,77,12269.46
800_to_658,9.29961,37.38617,78,12343.14
800_to_658,9.29893,37.38637,79,12421.87
800_to_658,9.29732,37.38687,80,12609.12
800_to_658,9.29673,37.38691,81,12674.87
800_to_658,9.29494,37.38688,82,12873.93
800_to_658,9.29442,37.38683,83,12932.02
800_to_658,9.29409,37.38675,84,12969.75
800_to_658,9.29376,37.38662,85,13009.12
800_to_658,9.29277,37.38593,86,13142.72
800_to_658,9.2915,37.38493,87,13321.57
800_to_658,9.29127,37.3848,88,13350.85
800_to_658,9.29099,37.38469,89,13384.24
800_to_658,9.29066,37.38461,90,13421.97
800_to_658,9.2888,37.38457,91,13628.84
800_to_658,9.28812,37.3845,92,13704.84
800_to_658,9.28764,37.38436,93,13760.38
800_to_658,9.28714,37.38409,94,13823.38
800_to_658,9.28264,37.38089,95,14434.69
800_to_658,9.28216,37.38062,96,14495.73
800_to_658,9.28157,37.38033,97,14568.65
800_to_658,9.28092,37.38013,98,14644.19
800_to_658,9.28058,37.38006,99,14682.76
800_to_658,9.28021,37.38002,100,14724.14
800_to_658,9.27936,37.38003,101,14818.66
800_to_658,9.27757,37.38004,102,15017.70
800_to_658,9.27723,37.38001,103,15055.65
800_to_658,9.27694,37.37997,104,15088.20
800_to_658,9.27459,37.37929,105,15359.95
800_to_658,9.27417,37.37913,106,15409.85
800_to_658,9.27386,37.37892,107,15451.31
800_to_658,9.27357,37.37868,108,15492.95
800_to_658,9.27325,37.37833,109,15545.30
800_to_658,9.27311,37.37811,110,15574.03
800_to_658,9.27212,37.37597,111,15833.40
800_to_658,9.27164,37.37473,112,15979.57
800_to_658,9.27147,37.37449,113,16011.99
800_to_658,9.27129,37.37432,114,16039.35
800_to_658,9.27103,37.37416,115,16073.18
800_to_658,9.27068,37.37411,116,16112.48
800_to_658,9.26943,37.37444,117,16256.12
800_to_658,9.26573,37.37562,118,16687.44
800_to_658,9.26529,37.37573,119,16737.83
800_to_658,9.26485,37.37576,120,16786.87
800_to_658,9.26444,37.37574,121,16832.51
800_to_658,9.26286,37.37561,122,17008.77
800_to_658,9.26182,37.37549,123,17125.16
800_to_658,9.26085,37.37533,124,17234.44
800_to_658,9.26035,37.37522,125,17291.34
800_to_658,9.25972,37.37499,126,17365.80
800_to_658,9.25906,37.37468,127,17446.69
800_to_658,9.25813,37.37406,128,17570.48
800_to_658,9.25514,37.37218,129,17961.77
800_to_658,9.25197,37.37,130,18387.78
800_to_658,9.25156,37.36976,131,18440.43
800_to_658,9.25116,37.36955,132,18490.53
800_to_658,9.24949,37.36886,133,18691.07
800_to_658,9.24537,37.36741,134,19176.05
800_to_658,9.2419,37.36637,135,19578.42
800_to_658,9.2418,37.36634,136,19590.02
800_to_658,9.24165,37.36627,137,19608.38
800_to_658,9.24069,37.3657,138,19732.11
800_to_658,9.23824,37.36423,139,20048.73
800_to_658,9.23733,37.36367,140,20167.12
800_to_658,9.23614,37.36322,141,20308.36
800_to_658,9.23515,37.3629,142,20423.91
800_to_658,9.23397,37.36249,143,20562.62
800_to_658,9.23376,37.36241,144,20587.57
800_to_658,9.23354,37.36232,145,20613.95
800_to_658,9.23321,37.36214,146,20655.62
800_to_658,9.23234,37.36142,147,20780.53
800_to_658,9.23209,37.36123,148,20815.29
800_to_658,9.23143,37.36073,149,20906.92
800_to_658,9.2312,37.36054,150,20939.92
800_to_658,9.23063,37.36026,151,21010.36
800_to_658,9.22986,37.35999,152,21100.96
800_to_658,9.22874,37.35959,153,21233.01
800_to_658,9.22839,37.35946,154,21274.47
800_to_658,9.22782,37.35929,155,21340.54
800_to_658,9.22738,37.35922,156,21390.06
800_to_658,9.22738,37.35922,157,21390.06
800_to_658,9.22714,37.35925,158,21416.95
800_to_658,9.22684,37.35935,159,21452.07
800_to_658,9.22655,37.35954,160,21490.47
800_to_658,9.22534,37.36057,161,21666.20
800_to_658,9.22496,37.36077,162,21713.82
800_to_658,9.22462,37.36086,163,21752.90
800_to_658,9.22417,37.36092,164,21803.37
800_to_658,9.22315,37.36069,165,21919.56
800_to_658,9.22216,37.36048,166,22032.03
800_to_658,9.22108,37.36024,167,22154.98
800_to_658,9.22057,37.36016,168,22212.36
800_to_658,9.21995,37.36015,169,22281.31
800_to_658,9.21959,37.36013,170,22321.40
800_to_658,9.21937,37.3601,171,22346.08
800_to_658,9.21831,37.35978,172,22469.07
800_to_658,9.21807,37.35973,173,22496.32
800_to_658,9.21788,37.35974,174,22517.47
800_to_658,9.21767,37.35982,175,22542.42
800_to_658,9.2175,37.3599,176,22563.26
800_to_658,9.21737,37.35999,177,22580.77
800_to_658,9.21729,37.3601,178,22595.77
800_to_658,9.21721,37.36025,179,22614.48
800_to_658,9.21715,37.3605,180,22642.72
800_to_658,9.21704,37.36075,181,22672.76
800_to_658,9.21702,37.36095,182,22694.83
800_to_658,9.21691,37.36109,183,22714.47
800_to_658,9.21679,37.36126,184,22737.41
800_to_658,9.21667,37.36136,185,22754.68
800_to_658,9.21659,37.36137,186,22763.65
800_to_658,9.21644,37.36139,187,22780.47
800_to_658,9.21617,37.36135,188,22810.81
800_to_658,9.21572,37.36104,189,22871.32
800_to_658,9.2151,37.3607,190,22949.72
800_to_658,9.21369,37.36,191,23124.31
800_to_658,9.21284,37.35952,192,23232.52
800_to_658,9.21258,37.35938,193,23265.26
800_to_658,9.21238,37.35932,194,23288.46
800_to_658,9.21215,37.35927,195,23314.61
800_to_658,9.21192,37.35925,196,23340.28
800_to_658,9.21145,37.3593,197,23392.83
800_to_658,9.21108,37.3593,198,23433.97
800_to_658,9.21031,37.35926,199,23519.71
800_to_658,9.20905,37.35903,200,23662.07
800_to_658,9.20872,37.359,201,23698.91
800_to_658,9.20847,37.35901,202,23726.73
800_to_658,9.20816,37.35906,203,23761.63
