shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
328_to_837,8.58942,39.1257,0,0.00
328_to_837,8.58921,39.12557,1,27.38
328_to_837,8.58921,39.12557,2,27.38
328_to_837,8.58886,39.12609,3,96.54
328_to_837,8.58886,39.12609,4,96.54
328_to_837,8.58879,39.12619,5,110.01
328_to_837,8.58932,39.12658,6,182.89
328_to_837,8.58962,39.12687,7,229.04
328_to_837,8.5899,39.12714,8,272.06
328_to_837,8.59015,39.12743,9,314.36
328_to_837,8.59038,39.12774,10,356.97
328_to_837,8.59053,39.12797,11,387.26
328_to_837,8.59079,39.12839,12,441.75
328_to_837,8.59131,39.12918,13,546.09
328_to_837,8.59146,39.12946,14,581.10
328_to_837,8.59165,39.12972,15,616.65
328_to_837,8.5917,39.12984,16,630.97
328_to_837,8.59174,39.12996,17,644.89
328_to_837,8.59176,39.13005,18,655.03
328_to_837,8.59177,39.13015,19,666.08
328_to_837,8.59177,39.13025,20,677.08
328_to_837,8.59176,39.13035,21,688.13
328_to_837,8.59171,39.13059,22,715.09
328_to_837,8.591,39.13292,23,983.16
328_to_837,8.59075,39.13376,24,1079.61
328_to_837,8.5903,39.13532,25,1258.28
328_to_837,8.5891,39.14044,26,1836.81
328_to_837,8.58899,39.14088,27,1886.71
328_to_837,8.5889,39.14128,28,1931.81
328_to_837,8.58889,39.14136,29,1940.68
328_to_837,8.58886,39.14185,30,1994.65
328_to_837,8.58887,39.14237,31,2051.84
328_to_837,8.58892,39.14285,32,2104.90
328_to_837,8.58894,39.14298,33,2119.37
328_to_837,8.58894,39.14298,34,2119.37
328_to_837,8.58872,39.14313,35,2148.87
328_to_837,8.5883,39.14349,36,2210.09
328_to_837,8.5882,39.14357,37,2224.27
328_to_837,8.58775,39.14398,38,2291.62
328_to_837,8.58764,39.14408,39,2308.06
328_to_837,8.58757,39.14417,40,2320.65
328_to_837,8.58748,39.14428,41,2336.35
328_to_837,8.58742,39.14438,42,2349.21
328_to_837,8.58737,39.14449,43,2362.52
328_to_837,8.58734,39.14459,44,2374.01
328_to_837,8.58733,39.14474,45,2390.54
328_to_837,8.58735,39.14487,46,2405.01
328_to_837,8.58739,39.14501,47,2421.03
328_to_837,8.58745,39.14514,48,2436.81
328_to_837,8.58762,39.14536,49,2467.50
328_to_837,8.58802,39.14581,50,2534.03
328_to_837,8.58808,39.14589,51,2545.07
328_to_837,8.58814,39.14594,52,2553.72
328_to_837,8.58829,39.14608,53,2576.42
